"all_2022_trips_v2$member_casual","all_2022_trips_v2$day_of_week","all_2022_trips_v2$ride_length"
"casual","Sunday",2043.87466164196
"member","Sunday",842.125661143365
"casual","Monday",1751.22874913117
"member","Monday",736.206464765969
"casual","Tuesday",1549.35841065328
"member","Tuesday",727.769402527487
"casual","Wednesday",1485.03758283094
"member","Wednesday",726.293370263826
"casual","Thursday",1532.94497408891
"member","Thursday",737.563667790815
"casual","Friday",1682.66590179804
"member","Friday",751.846258587874
"casual","Saturday",1956.79181504063
"member","Saturday",848.379322946981
